device,n_layer,n_head,n_embd,batch_size,block_size,param_count_m,avg_cpu_power,avg_gpu_power,total_power,final_loss,training_time,avg_step_time,steps_per_second,steps_per_second_watt,flops_per_step,flops_per_second,flops_per_watt,total_steps_time,forward_total_time_s,backward_total_time_s,optimizer_step_time_s,zero_grad_time_s,gradient_clipping_time_s,embedding_time_s,transformer_blocks_time_s,final_layernorm_time_s,output_head_time_s,loss_calculation_time_s,block_total_time_s,block_attention_time_s,block_mlp_time_s,block_layernorm1_time_s,block_layernorm2_time_s,block_residual1_time_s,block_residual2_time_s,attention_total_time_s,attention_qkv_proj_time_s,attention_reshape_time_s,attention_compute_time_s,attention_output_reassemble_time_s,mlp_total_time_s,mlp_fc1_time_s,mlp_activation_time_s,mlp_fc2_time_s,mlp_dropout_time_s,io_time_s,first_data_load_time_s,dynamic_learing_rate_loop_time_s,loss_evaluation_time_s,accumulation_time_s,data_loading_time_s,profiling_n_printing_time_s,loss_time_s,mfu_time_s
cpu,2,2,128,32,64,0.419072,903.1333333333333,19.366666666666667,922.5,2.3685,4.309221982955933,0.016399203980099492,60.97856952163681,66.10143037575806,10433331200,636209611921.4624,689658115.9040242,3.2962399999999983,2.214875,1.656697,0.229837,0.020253,0.063086,0.02226,1.072078,0.014069,0.041459,0.017295,1.067005,0.317358,0.638468,0.028054,0.02961,0.022117,0.029124,0.315114,0.14387,0.003717,0.108987,0.05672,0.637049,0.197535,0.278676,0.156823,0.002258,0.331165,0.005381,0.000458,0.108803,3.176091,0.139626,0.000173,0.000191,0.007997
mps,2,2,128,32,64,0.419072,176.8,502.56666666666666,679.3666666666667,2.3685,3.40415620803833,0.012036517412935327,83.08050956045862,122.29111853264112,10433331200,866806472509.0312,1275903742.469503,2.4193400000000005,0.537372,0.364727,0.226604,0.00483,0.129219,0.045322,0.205399,0.001989,0.036575,0.03257,0.203752,0.16091,0.02998,0.004311,0.004044,0.001462,0.001346,0.159325,0.01143,0.003424,0.128488,0.01433,0.028983,0.007616,0.0109,0.00764,0.001511,0.345205,0.006558,0.000335,0.167356,1.639176,0.664725,0.000185,0.493383,0.007811
cpu,2,2,128,32,128,0.427264,1848.5666666666666,15.566666666666666,1864.1333333333332,2.4251,7.653104305267334,0.033203184079601974,30.11759346942691,16.15635155001086,21537751040,648665230068.4467,347971477.39885205,6.673839999999997,4.484939,3.770105,0.276725,0.038958,0.065959,0.039673,2.211293,0.02579,0.066404,0.028218,2.19483,0.750621,1.234476,0.051667,0.05465,0.046438,0.054354,0.746878,0.28797,0.004335,0.341289,0.111151,1.232806,0.3929,0.542244,0.293195,0.00265,0.32611,0.005645,0.000539,0.232565,6.429029,0.133742,0.000161,0.000238,0.00795
mps,2,2,128,32,128,0.427264,176.96666666666667,2002.7666666666667,2179.733333333333,2.4251,4.2222740650177,0.01607253731343283,62.21792990732317,28.543826419435025,21537751040,1340034284568.0967,614769827.1507663,3.230579999999999,0.583667,0.398472,0.241769,0.00526,0.139563,0.047563,0.223469,0.002272,0.040506,0.035968,0.22161,0.173248,0.033854,0.004858,0.004571,0.001622,0.001545,0.171458,0.012823,0.003738,0.137102,0.016003,0.032706,0.008695,0.012135,0.008615,0.001728,0.341902,0.007033,0.000356,0.283349,2.032647,0.976721,0.000185,0.851774,0.007997
cpu,2,2,128,32,256,0.443648,4030.266666666667,21.6,4051.866666666667,2.4392,14.617929935455322,0.06780238805970153,14.748743054882926,3.639987262220604,45759856640,674900367811.6383,166565295.29064092,13.628280000000007,10.204188,7.692668,0.304637,0.050947,0.068029,0.07252,5.038718,0.050092,0.137271,0.054988,5.001407,1.956596,2.634092,0.104436,0.104834,0.096265,0.101784,1.954292,0.647905,0.005283,1.056519,0.240942,2.631794,0.840896,1.128836,0.654535,0.004587,0.330309,0.000596,0.000545,0.454088,13.160396,0.136552,0.000169,0.000238,0.008183
mps,2,2,128,32,256,0.443648,147.36666666666667,4813.8,4961.166666666667,2.4392,7.452465772628784,0.031894278606965164,31.35358577389542,6.3198009420960295,45759856640,1434735590163.398,289193185.1036513,6.4107499999999975,0.88766,0.634458,0.350089,0.00775,0.207505,0.060966,0.337293,0.003249,0.06099,0.053611,0.33472,0.260607,0.053118,0.006966,0.006562,0.002383,0.002245,0.258004,0.019208,0.005709,0.205895,0.024461,0.051492,0.014395,0.018681,0.013891,0.002349,0.345304,0.005667,0.000565,0.252086,3.931449,2.304826,0.000314,2.081156,0.013297
cpu,2,2,128,32,512,0.476416,3848.6666666666665,15.466666666666667,3864.133333333333,inf,44.561317920684814,inf,0.0,0.0,102257131520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,2,2,128,32,512,0.476416,97.1,10722.033333333333,10819.133333333333,inf,17.09703803062439,inf,0.0,0.0,102257131520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,4,4,256,1,64,3.199488,502.1666666666667,24.433333333333334,526.6,2.3695,2.9445180892944336,0.009457810945273634,105.73271191255218,200.78372941996233,2473984000,261581037548.2635,496735734.04531616,1.9010200000000006,0.811765,0.507711,0.686999,0.031985,0.19127,0.00913,0.391447,0.004575,0.009969,0.006233,0.382741,0.128299,0.208361,0.01848,0.017553,0.003338,0.003534,0.125824,0.053953,0.006204,0.031458,0.031349,0.206119,0.062441,0.04896,0.089552,0.002612,0.367388,0.004166,0.000387,0.035217,1.852808,0.036839,0.00022,0.000191,0.010693
mps,4,4,256,1,64,3.199488,257.3666666666667,283.9,541.2666666666667,2.3694,4.528654098510742,0.01712199004975125,58.40442595132382,107.9032379935777,2473984000,144491615332.75992,266950884.34430334,3.4415200000000006,0.813599,0.546455,0.354936,0.005667,0.187749,0.044768,0.348041,0.002025,0.034136,0.030445,0.34499,0.264923,0.056124,0.008116,0.007382,0.002589,0.002684,0.262329,0.017984,0.006297,0.213678,0.021423,0.054165,0.01157,0.023343,0.013997,0.002772,0.386475,0.007703,0.000332,0.110961,1.678397,0.198044,0.000246,1.777601,0.01074
cpu,4,4,256,1,128,3.215872,570.4,15.633333333333333,586.0333333333333,2.5496,3.2630603313446045,0.011142288557213933,89.74816931594926,153.1451612239621,5006688256,449341105311.66266,766750080.1632376,2.2396000000000007,1.11021,0.703468,0.661917,0.029182,0.204752,0.011096,0.545763,0.005082,0.010858,0.006408,0.531297,0.176563,0.298998,0.020869,0.019907,0.005619,0.005947,0.1739,0.07121,0.00602,0.060286,0.033318,0.296613,0.082518,0.078354,0.130327,0.002843,0.366004,0.00511,0.000421,0.052016,2.17302,0.034689,0.00023,0.000191,0.011344
mps,4,4,256,1,128,3.215872,255.83333333333334,383.5,639.3333333333334,2.5496,3.9740850925445557,0.01466199004975125,68.20356558739894,106.67919539217769,5006688256,341473990843.75604,534109474.7295454,2.9470600000000013,0.786718,0.525652,0.345498,0.005605,0.182601,0.043845,0.335833,0.001809,0.034119,0.031131,0.333082,0.26114,0.048914,0.007701,0.007215,0.00247,0.002582,0.258654,0.017036,0.006068,0.211859,0.02089,0.046891,0.011068,0.018698,0.011912,0.002741,0.38215,0.006996,0.000298,0.130987,1.675925,0.244498,0.000228,1.2362,0.010368
cpu,4,4,256,1,256,3.24864,856.2333333333333,20.233333333333334,876.4666666666667,2.8004,4.141764879226685,0.015557512437810955,64.27762818749876,73.33721935137152,10248257536,658733687468.7402,751578710.8869783,3.127060000000002,1.784177,1.216151,0.665463,0.036551,0.211578,0.01818,0.886478,0.006342,0.013295,0.007159,0.865705,0.306633,0.47386,0.024591,0.02352,0.016269,0.016852,0.303973,0.109238,0.00659,0.140288,0.044717,0.471261,0.143112,0.14287,0.179605,0.003063,0.361196,0.005151,0.000466,0.084783,3.027504,0.035967,0.000244,0.000238,0.011855
