device,n_layer,n_head,n_embd,batch_size,block_size,param_count_m,avg_cpu_power,avg_gpu_power,total_power,final_loss,training_time,avg_step_time,steps_per_second,steps_per_second_watt,flops_per_step,flops_per_second,flops_per_watt,total_steps_time,forward_total_time_s,backward_total_time_s,optimizer_step_time_s,zero_grad_time_s,gradient_clipping_time_s,embedding_time_s,transformer_blocks_time_s,final_layernorm_time_s,output_head_time_s,loss_calculation_time_s,block_total_time_s,block_attention_time_s,block_mlp_time_s,block_layernorm1_time_s,block_layernorm2_time_s,block_residual1_time_s,block_residual2_time_s,attention_total_time_s,attention_qkv_proj_time_s,attention_reshape_time_s,attention_compute_time_s,attention_output_reassemble_time_s,mlp_total_time_s,mlp_fc1_time_s,mlp_activation_time_s,mlp_fc2_time_s,mlp_dropout_time_s,io_time_s,first_data_load_time_s,dynamic_learing_rate_loop_time_s,loss_evaluation_time_s,accumulation_time_s,data_loading_time_s,profiling_n_printing_time_s,loss_time_s,mfu_time_s
mps,6,6,384,1,512,10.872576,282.3666666666667,6925.6,7207.966666666667,2.5972,9.661489009857178,0.04236139303482587,23.60640027059277,3.2750429298960086,69217026048,1633964822429.1338,226688731.78693026,8.51464,1.434453,0.985188,0.61804,0.008162,0.319397,0.052164,0.64704,0.002419,0.044074,0.040026,0.64188,0.504847,0.092109,0.014276,0.014713,0.005031,0.004755,0.500108,0.03182,0.011577,0.407053,0.043965,0.088412,0.022438,0.033835,0.02234,0.00509,0.469415,0.005392,0.0004,0.28209,4.610427,1.989674,0.000384,3.569603,0.019341
cpu,6,6,384,2,64,10.700544,1440.9,1.1333333333333333,1442.0333333333335,2.6518,7.2495810985565186,0.03061786069651742,32.660675084779626,22.64904307675247,16511533056,539277816293.6144,373970423.4485664,6.154190000000002,2.662105,2.032156,1.90499,0.116161,0.626423,0.018831,1.333992,0.006545,0.013249,0.007495,1.286977,0.410679,0.749899,0.0368,0.034921,0.022131,0.0262,0.406434,0.211097,0.010671,0.084179,0.09557,0.745996,0.251855,0.17746,0.306996,0.005221,0.436636,0.005216,0.000508,0.114124,6.017442,0.045782,0.000303,0.000191,0.017155
mps,6,6,384,2,64,10.700544,410.6666666666667,2483.0666666666666,2893.733333333333,2.6494,5.230679988861084,0.020470995024875614,48.8496039779618,16.88116987673195,16511533056,806581850854.6254,278733994.443611,4.1146699999999985,1.07941,0.746924,0.459157,0.00615,0.233847,0.043672,0.485785,0.001674,0.034232,0.030679,0.482182,0.374313,0.076217,0.010365,0.009964,0.003604,0.003516,0.370327,0.027049,0.008593,0.296715,0.033951,0.073622,0.019843,0.025303,0.021159,0.003821,0.469972,0.005288,0.000281,0.194407,2.178049,0.217041,0.000348,1.642609,0.013018
cpu,6,6,384,2,128,10.72512,2047.0,0.8666666666666667,2047.8666666666666,2.4852,9.08089804649353,0.039639054726368174,25.22764498051446,12.318988043092547,33249558528,838808058303.221,409600913.9445379,7.967450000000003,4.187837,3.078765,1.839105,0.135623,0.623274,0.021741,2.13272,0.007847,0.015464,0.007578,2.107919,0.698571,1.252038,0.044561,0.043353,0.030776,0.032469,0.694448,0.335279,0.010216,0.213095,0.130964,1.248221,0.426787,0.321938,0.490168,0.005135,0.439001,0.00521,0.00052,0.194414,7.751989,0.062737,0.000326,0.0,0.016551
mps,6,6,384,2,128,10.72512,354.76666666666665,3578.9666666666667,3933.7333333333336,2.4854,6.341156959533691,0.025930248756218913,38.56499833076872,9.803663609828336,33249558528,1282269169131.1167,325967486.98381096,5.211980000000001,1.190147,0.809521,0.49303,0.006883,0.246108,0.045725,0.539213,0.001945,0.037512,0.033474,0.535243,0.415022,0.085233,0.01137,0.011249,0.003793,0.003852,0.410625,0.030092,0.009119,0.328647,0.038396,0.08225,0.022992,0.028052,0.023276,0.004141,0.468342,0.005419,0.000322,0.280229,2.728347,0.606065,0.000343,2.028227,0.014226
cpu,6,6,384,2,256,10.774272,3570.9666666666667,0.9333333333333333,3571.9,2.545,13.716249942779541,0.0626961194029851,15.949950483735805,4.465396703081218,67405086720,1075107795535.9178,300990452.0103916,12.601920000000005,7.63905,5.809245,1.885487,0.165202,0.622469,0.025975,3.92579,0.011069,0.023622,0.009255,3.90286,1.414091,2.254922,0.064549,0.064635,0.047017,0.051258,1.408656,0.594151,0.010739,0.593531,0.205055,2.250544,0.786224,0.624437,0.829862,0.005604,0.447076,0.004155,0.000504,0.364087,12.216349,0.078716,0.000312,0.000191,0.017527
mps,6,6,384,2,256,10.774272,303.3333333333333,6197.2,6500.533333333333,2.545,8.789840936660767,0.03805671641791045,26.276570711428352,4.042217671077505,67405086720,1771174527508.0403,272466032.66009563,7.649399999999999,1.373403,0.967888,0.584533,0.007769,0.29477,0.050403,0.620754,0.002323,0.042731,0.037923,0.616054,0.475541,0.098385,0.013389,0.013719,0.004708,0.004541,0.470232,0.034751,0.010826,0.373996,0.045441,0.094826,0.026588,0.032029,0.026639,0.004992,0.472996,0.00627,0.000362,0.272923,4.087912,1.574659,0.000399,3.220224,0.016969
cpu,6,6,384,2,512,10.872576,3140.5333333333333,0.0,3140.5333333333333,inf,41.61878418922424,inf,0.0,0.0,138434052096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,2,512,10.872576,245.26666666666668,13106.533333333333,13351.8,inf,15.76301383972168,inf,0.0,0.0,138434052096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,4,64,10.700544,1991.6,1.1333333333333333,1992.7333333333333,2.5207,9.303158044815063,0.04074432835820897,24.5432932703755,12.316396208077098,33023066112,810494796273.8148,406725166.2409161,8.189610000000004,4.123837,3.228584,1.916175,0.139801,0.645857,0.020495,2.093858,0.007968,0.016102,0.008017,2.053515,0.647602,1.246767,0.045618,0.044597,0.031321,0.031016,0.643048,0.330277,0.011158,0.14845,0.147968,1.242632,0.426273,0.322569,0.483801,0.00556,0.443547,0.005171,0.000512,0.182799,7.984838,0.066438,0.0003,0.000238,0.016551
mps,6,6,384,4,64,10.700544,355.06666666666666,3537.9,3892.9666666666667,2.5242,6.163632869720459,0.025062636815920396,39.90003156271154,10.249261033841767,33023066112,1317621380166.3098,338462024.7197021,5.03759,1.167138,0.800073,0.492522,0.006687,0.244995,0.046095,0.526399,0.001822,0.037252,0.033376,0.522481,0.406145,0.081595,0.010965,0.011338,0.003968,0.003795,0.401668,0.029408,0.009506,0.319801,0.03857,0.078635,0.022347,0.026994,0.021606,0.003982,0.460981,0.006285,0.000312,0.251469,2.640825,0.539979,0.000322,2.078533,0.014319
cpu,6,6,384,4,128,10.72512,3385.6666666666665,0.6666666666666666,3386.333333333333,2.47,13.632936000823975,0.0623237313432836,16.045252401399523,4.738237740348319,66499117056,1066995117633.7319,315088626.1345798,12.527070000000004,7.34584,5.815769,1.896675,0.157937,0.638242,0.024297,3.770446,0.011311,0.024395,0.009457,3.751278,1.230372,2.28592,0.063967,0.064693,0.047333,0.052545,1.22448,0.602421,0.010823,0.399896,0.206193,2.281831,0.800374,0.629285,0.841867,0.005924,0.438426,0.005299,0.000491,0.346875,12.159284,0.132576,0.000317,0.0,0.017574
mps,6,6,384,4,128,10.72512,301.0,5802.933333333333,6103.933333333333,2.47,8.354704141616821,0.03581751243781094,27.919303489774038,4.573985652383825,66499117056,1856609030888.473,304166007.3103364,7.199319999999999,1.359947,0.948948,0.567487,0.007612,0.287689,0.050344,0.61554,0.002215,0.042646,0.038136,0.611029,0.474422,0.096053,0.013053,0.012921,0.004575,0.004384,0.469168,0.034447,0.010641,0.374526,0.044357,0.092732,0.026224,0.031463,0.025798,0.004683,0.475737,0.005372,0.00036,0.272589,3.78758,1.325535,0.000354,3.047991,0.017574
cpu,6,6,384,4,256,10.774272,4366.4,0.26666666666666666,4366.666666666666,inf,22.868453979492188,inf,0.0,0.0,134810173440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,4,256,10.774272,553.0666666666667,11457.066666666668,12010.133333333335,2.6101,13.72383999824524,0.062483631840796014,16.004191346430233,1.3325573415585363,134810173440,2157527811179.2068,179642286.3342516,12.559209999999998,1.950081,1.331444,0.691707,0.010002,0.365528,0.068966,0.881377,0.002999,0.055846,0.049825,0.874642,0.680707,0.133476,0.019741,0.019439,0.007048,0.006579,0.672949,0.050517,0.015522,0.535259,0.064001,0.128633,0.035374,0.044657,0.035637,0.006937,0.462752,0.005353,0.000713,0.390643,6.576111,3.234717,0.000445,5.462646,0.02399
cpu,6,6,384,4,512,10.872576,4418.666666666667,0.3333333333333333,4419.0,inf,69.1788899898529,inf,0.0,0.0,276868104192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,4,512,10.872576,157.93333333333334,12846.966666666667,13004.9,inf,28.10175919532776,inf,0.0,0.0,276868104192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,8,64,10.700544,3292.1666666666665,1.0,3293.1666666666665,2.2987,13.71141791343689,0.06182800995024877,16.173899189132424,4.911351542830839,66046132224,1068223484423.0864,324375773.396352,12.427430000000003,7.499864,5.67451,1.879798,0.199442,0.635958,0.023873,3.84122,0.011801,0.024746,0.009651,3.811661,1.164615,2.404058,0.066847,0.067518,0.047916,0.05407,1.158745,0.642647,0.011511,0.260748,0.2383,2.399794,0.846791,0.640001,0.902046,0.006174,0.45602,0.004162,0.000513,0.340604,12.063624,0.073097,0.000292,0.000191,0.017527
mps,6,6,384,8,64,10.700544,315.8666666666667,5737.666666666667,6053.533333333334,2.3039,8.224302053451538,0.03528646766169156,28.339475902985928,4.681476807426945,66046132224,1871712772647.4705,309193436.2269094,7.0925800000000025,1.384318,0.932389,0.559725,0.007489,0.281028,0.054301,0.631673,0.002301,0.044108,0.039449,0.626646,0.484622,0.099256,0.01389,0.013729,0.004664,0.004658,0.479231,0.036345,0.011229,0.379721,0.04659,0.095665,0.026997,0.032419,0.026726,0.004867,0.467743,0.006469,0.000381,0.39171,3.615604,1.182029,0.000344,2.962589,0.016969
cpu,6,6,384,8,128,10.72512,4239.166666666667,0.0,4239.166666666667,inf,21.74151086807251,inf,0.0,0.0,132998234112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,8,128,10.72512,274.8,10884.0,11158.8,2.4144,12.677388906478882,0.057314925373134325,17.447462305669124,1.5635608045371479,132998234112,2320481676389.6772,207950825.93017864,11.520299999999999,1.791705,1.257866,0.713231,0.00931,0.357942,0.060641,0.810002,0.002846,0.052729,0.046961,0.804043,0.622993,0.125785,0.018059,0.017411,0.006149,0.006045,0.615991,0.04623,0.01432,0.489508,0.059127,0.121133,0.034022,0.040777,0.034323,0.006329,0.461111,0.005335,0.00051,0.334388,5.965659,2.760355,0.000397,5.151653,0.024176
cpu,6,6,384,8,256,10.774272,4517.133333333333,0.6666666666666666,4517.8,inf,42.07240676879883,inf,0.0,0.0,269620346880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,8,256,10.774272,245.1,13572.433333333332,13817.533333333333,inf,23.965252161026,inf,0.0,0.0,269620346880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,8,512,10.872576,3943.0333333333333,0.7333333333333333,3943.7666666666664,inf,123.43921113014221,inf,0.0,0.0,553736208384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,8,512,10.872576,261.1,12861.0,13122.1,inf,53.90536189079285,inf,0.0,0.0,553736208384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,16,64,10.700544,4118.8,0.6666666666666666,4119.466666666667,inf,21.518789768218994,inf,0.0,0.0,132092264448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,16,64,10.700544,290.1,9494.933333333332,9785.033333333333,2.2225,12.919924974441528,0.05833069651741295,17.14363207889141,1.7520259251944035,132092264448,2264541182164.14,231429071.830531,11.724470000000002,1.763996,1.254551,0.712249,0.009291,0.363203,0.061647,0.79029,0.002808,0.0505,0.044794,0.784405,0.607533,0.122638,0.01755,0.017383,0.006153,0.005974,0.600863,0.045254,0.014313,0.476032,0.058487,0.118124,0.033339,0.039549,0.033438,0.006124,0.474339,0.007435,0.000517,0.358256,5.877878,2.678312,0.000447,6.444359,0.028267
cpu,6,6,384,16,128,10.72512,4054.266666666667,0.06666666666666667,4054.3333333333335,inf,44.50793504714966,inf,0.0,0.0,265996468224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,16,128,10.72512,146.4,7129.033333333334,7275.433333333333,inf,28.74943208694458,inf,0.0,0.0,265996468224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,16,256,10.774272,3251.9666666666667,0.4666666666666667,3252.4333333333334,inf,98.6595778465271,inf,0.0,0.0,539240693760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,16,256,10.774272,178.1,6762.8,6940.900000000001,inf,56.73660492897034,inf,0.0,0.0,539240693760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,16,512,10.872576,3772.133333333333,0.5333333333333333,3772.6666666666665,inf,219.07096910476685,inf,0.0,0.0,1107472416768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,16,512,10.872576,153.83333333333334,6381.866666666667,6535.7,inf,128.49123692512512,inf,0.0,0.0,1107472416768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,32,64,10.700544,4346.033333333334,0.3333333333333333,4346.366666666667,inf,36.862853050231934,inf,0,0.0,264184528896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,32,64,10.700544,215.9,14053.066666666668,14268.966666666667,inf,20.466981172561646,inf,0,0.0,264184528896,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,32,128,10.72512,3686.2,0.7333333333333333,3686.933333333333,inf,102.77846074104309,inf,0,0.0,531992936448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,32,128,10.72512,122.2,14092.5,14214.7,inf,39.79974412918091,inf,0,0.0,531992936448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,32,256,10.774272,4287.633333333333,0.4,4288.033333333333,inf,185.37818217277527,inf,0,0.0,1078481387520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,32,256,10.774272,168.93333333333334,15698.633333333333,15867.566666666666,inf,88.3422839641571,inf,0,0.0,1078481387520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,6,6,384,32,512,10.872576,4997.033333333334,0.3333333333333333,4997.366666666667,inf,381.02387404441833,inf,0,0.0,2214944833536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,6,6,384,32,512,10.872576,202.96666666666667,14694.466666666667,14897.433333333334,inf,214.9745762348175,inf,0,0.0,2214944833536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
